stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6771,0.0147
0.0,conformal_risk_filter,0.6945,0.0146
0.0,proposed_branch_mechanism,0.7555,0.0085
0.0,oracle_branch_upper_bound,0.8093,0.0094
0.2,scalar_uncertainty_planner,0.6252,0.0177
0.2,conformal_risk_filter,0.6543,0.0147
0.2,proposed_branch_mechanism,0.7279,0.0093
0.2,oracle_branch_upper_bound,0.7855,0.0096
0.4,scalar_uncertainty_planner,0.5712,0.0169
0.4,conformal_risk_filter,0.6095,0.0120
0.4,proposed_branch_mechanism,0.6962,0.0100
0.4,oracle_branch_upper_bound,0.7669,0.0094
0.6,scalar_uncertainty_planner,0.5136,0.0112
0.6,conformal_risk_filter,0.5667,0.0134
0.6,proposed_branch_mechanism,0.6638,0.0097
0.6,oracle_branch_upper_bound,0.7479,0.0097
0.8,scalar_uncertainty_planner,0.4648,0.0094
0.8,conformal_risk_filter,0.5179,0.0141
0.8,proposed_branch_mechanism,0.6312,0.0091
0.8,oracle_branch_upper_bound,0.7298,0.0111
1.0,scalar_uncertainty_planner,0.4033,0.0091
1.0,conformal_risk_filter,0.4726,0.0123
1.0,proposed_branch_mechanism,0.6038,0.0121
1.0,oracle_branch_upper_bound,0.7088,0.0087
