method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_regret,ci95_regret,groups,episodes_per_cell
conformal_shift_guard_selector,0.53664062,0.00337872,0.33760031,0.00393866,0.59037172,0.00033533,0.22821912,0.00058627,0.09735400,0.00030624,0.06076318,0.00017480,0.24029979,0.00031375,0.20309578,0.00046599,1600,96
counterfactual_pair_selector,0.55597656,0.00344148,0.35021627,0.00401240,0.61343571,0.00033242,0.23493625,0.00058440,0.11119300,0.00031209,0.06839786,0.00017405,0.22350855,0.00031273,0.18508011,0.00047055,1600,96
diversity_coreset_selector,0.37197266,0.00428207,-0.02184302,0.00505822,0.45039627,0.00032845,0.40252479,0.00078814,0.15890106,0.00034033,0.09852137,0.00018739,0.19646336,0.00031271,0.28105681,0.00057650,1600,96
domain_adversarial_selector,0.53097005,0.00344038,0.29462366,0.00400832,0.57847832,0.00033112,0.25142516,0.00059940,0.12150768,0.00030744,0.07474795,0.00017269,0.21637155,0.00031304,0.20184805,0.00047131,1600,96
failure_mining_selector,0.40196615,0.00422653,0.00475255,0.00498371,0.48061745,0.00034549,0.38340305,0.00076139,0.17431177,0.00033367,0.10841307,0.00019233,0.21499553,0.00031274,0.26815966,0.00057507,1600,96
foundation_embedding_filter,0.48884766,0.00392416,0.22781944,0.00459637,0.59374340,0.00034375,0.31633429,0.00070587,0.12411424,0.00032454,0.07865222,0.00017938,0.18800796,0.00031274,0.20118360,0.00052895,1600,96
influence_function_selector,0.47558594,0.00382423,0.18316993,0.00448930,0.55050933,0.00033991,0.31835513,0.00067715,0.13367523,0.00033011,0.08354730,0.00018343,0.21584424,0.00031196,0.22323313,0.00051826,1600,96
interventional_mechanism_value_selector_v5,0.69672526,0.00276107,0.63640552,0.00316678,0.73352755,0.00033447,0.12853056,0.00046111,0.07676912,0.00028895,0.04682163,0.00015515,0.17260525,0.00031353,0.10746266,0.00038405,1600,96
invariant_risk_selector,0.52553385,0.00348616,0.29383406,0.00408519,0.58860307,0.00033783,0.26262935,0.00060841,0.11703714,0.00031548,0.07372531,0.00017332,0.20623734,0.00031259,0.19825560,0.00047581,1600,96
label_balanced_selector,0.29308594,0.00473366,-0.17859636,0.00489661,0.39659837,0.00034055,0.49741229,0.00089548,0.17890963,0.00036149,0.11082511,0.00020231,0.20328463,0.00031296,0.31708501,0.00064264,1600,96
offline_rl_value_selector,0.53391276,0.00366213,0.30374659,0.00430131,0.60257716,0.00034217,0.27461026,0.00064188,0.11728907,0.00032234,0.07375051,0.00018279,0.19670022,0.00031078,0.18726558,0.00050501,1600,96
oracle_interventional_selector,0.80378906,0.00241545,0.84735297,0.00274191,0.84071208,0.00033570,0.06624115,0.00038149,0.05227883,0.00028516,0.03015870,0.00015047,0.14419418,0.00031445,0.04592377,0.00033316,1600,96
proposed_causal_mechanism_selector_v4,0.60831380,0.00314930,0.45485726,0.00366605,0.65351026,0.00033376,0.19820952,0.00054791,0.10017243,0.00030484,0.06306638,0.00016683,0.19375850,0.00031144,0.14983167,0.00042930,1600,96
random_uniform_selector,0.23957031,0.00458713,-0.24243691,0.00354854,0.30863123,0.00033982,0.48239783,0.00086032,0.19297333,0.00035667,0.11934572,0.00019937,0.18218340,0.00031410,0.35219845,0.00062455,1600,96
tail_risk_reweighting_selector,0.53395182,0.00345685,0.32438615,0.00404118,0.59675178,0.00033254,0.25152769,0.00059552,0.10232746,0.00031856,0.06533651,0.00017749,0.22118690,0.00031456,0.19139430,0.00047707,1600,96
uncertainty_active_selector,0.45211589,0.00380651,0.13232746,0.00447532,0.53370075,0.00034321,0.33765773,0.00070281,0.14013217,0.00032884,0.08765393,0.00018000,0.23418359,0.00031163,0.23683325,0.00051167,1600,96
