method,split,task,regime,mean_success_rate,ci95_success_rate,mean_causal_mechanism_recall,ci95_causal_mechanism_recall,mean_spurious_dependence_rate,ci95_spurious_dependence_rate,mean_tail_failure_rate,ci95_tail_failure_rate,mean_damage_rate,ci95_damage_rate,mean_selection_cost,ci95_selection_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
diversity_coreset_selection,clean_budget,contact_grasp_policy,color_mechanism_confound,0.608844,0.035066,0.478940,0.003787,0.319948,0.001075,0.141173,0.001287,0.092360,0.001087,0.188312,0.002700,0.106559,0.000715,7,84
diversity_coreset_selection,clean_budget,contact_grasp_policy,compound_spurious_shift,0.532313,0.044887,0.464615,0.001395,0.349875,0.001066,0.155868,0.001767,0.094443,0.001457,0.196403,0.000946,0.115472,0.002580,7,84
diversity_coreset_selection,clean_budget,contact_grasp_policy,iid_mechanisms,0.668367,0.050259,0.485680,0.001280,0.302252,0.000979,0.131803,0.001390,0.088924,0.001047,0.187273,0.002006,0.106696,0.000649,7,84
diversity_coreset_selection,clean_budget,contact_grasp_policy,intervention_gap,0.562925,0.058658,0.467874,0.001306,0.338918,0.000999,0.146606,0.002084,0.091900,0.001653,0.191618,0.000990,0.111823,0.000663,7,84
diversity_coreset_selection,clean_budget,contact_grasp_policy,material_shift,0.603741,0.023727,0.467878,0.001280,0.324567,0.003616,0.137883,0.000863,0.090252,0.002857,0.187523,0.000696,0.109783,0.002660,7,84
diversity_coreset_selection,clean_budget,contact_grasp_policy,operator_bias_shift,0.620748,0.041186,0.467293,0.003810,0.327588,0.001027,0.143479,0.000848,0.090122,0.002955,0.191561,0.000448,0.112953,0.000682,7,84
diversity_coreset_selection,clean_budget,contact_grasp_policy,rare_contact_mechanism,0.549320,0.057927,0.472505,0.003796,0.331582,0.001056,0.145384,0.003630,0.094070,0.000927,0.188396,0.000501,0.110485,0.000702,7,84
diversity_coreset_selection,clean_budget,deformable_pull_policy,color_mechanism_confound,0.544218,0.032088,0.488868,0.003778,0.320543,0.002827,0.141539,0.000927,0.093659,0.000754,0.190776,0.000615,0.108032,0.002368,7,84
diversity_coreset_selection,clean_budget,deformable_pull_policy,compound_spurious_shift,0.489796,0.045379,0.472967,0.001421,0.351003,0.001085,0.154817,0.001716,0.094446,0.001410,0.194428,0.000919,0.117309,0.001888,7,84
diversity_coreset_selection,clean_budget,deformable_pull_policy,iid_mechanisms,0.620748,0.043333,0.495856,0.001306,0.304748,0.000999,0.131906,0.001449,0.090058,0.001166,0.187405,0.000756,0.106036,0.000663,7,84
diversity_coreset_selection,clean_budget,deformable_pull_policy,intervention_gap,0.500000,0.019052,0.481202,0.001331,0.338632,0.003906,0.148563,0.000792,0.094930,0.000738,0.192335,0.000674,0.112694,0.000611,7,84
