method,split,regime,task,seed,episodes,success_rate,causal_mechanism_recall,spurious_dependence_rate,tail_failure_rate,damage_rate,selection_cost,calibration_error
random_selection,clean_budget,iid_mechanisms,contact_grasp_policy,0,84,0.452381,0.333600,0.286056,0.164858,0.099620,0.126204,0.111233
random_selection,clean_budget,iid_mechanisms,contact_grasp_policy,1,84,0.416667,0.334312,0.286602,0.166313,0.100797,0.126909,0.111594
random_selection,clean_budget,iid_mechanisms,contact_grasp_policy,2,84,0.476190,0.335024,0.287148,0.164911,0.099897,0.126662,0.111954
random_selection,clean_budget,iid_mechanisms,contact_grasp_policy,3,84,0.428571,0.335736,0.287694,0.166723,0.101333,0.127486,0.112315
random_selection,clean_budget,iid_mechanisms,contact_grasp_policy,4,84,0.511905,0.336448,0.288240,0.164606,0.099915,0.127001,0.112676
random_selection,clean_budget,iid_mechanisms,contact_grasp_policy,5,84,0.452381,0.337160,0.288786,0.166776,0.101610,0.127944,0.113037
random_selection,clean_budget,iid_mechanisms,contact_grasp_policy,6,84,0.464286,0.337872,0.277326,0.166022,0.101282,0.128173,0.113205
random_selection,clean_budget,iid_mechanisms,peg_search_policy,0,84,0.500000,0.313416,0.285552,0.160545,0.100799,0.122876,0.107001
random_selection,clean_budget,iid_mechanisms,peg_search_policy,1,84,0.357143,0.314104,0.286080,0.165201,0.104298,0.124641,0.107349
random_selection,clean_budget,iid_mechanisms,peg_search_policy,2,84,0.500000,0.314792,0.286608,0.161286,0.101568,0.123548,0.107698
random_selection,clean_budget,iid_mechanisms,peg_search_policy,3,84,0.392857,0.315480,0.287136,0.164870,0.104289,0.124955,0.108046
random_selection,clean_budget,iid_mechanisms,peg_search_policy,4,84,0.547619,0.316168,0.287664,0.160598,0.101300,0.123744,0.108395
random_selection,clean_budget,iid_mechanisms,peg_search_policy,5,84,0.476190,0.316856,0.288192,0.163111,0.103242,0.124794,0.108743
random_selection,clean_budget,iid_mechanisms,peg_search_policy,6,84,0.500000,0.317544,0.288720,0.162767,0.103107,0.124892,0.109092
random_selection,clean_budget,iid_mechanisms,deformable_pull_policy,0,84,0.309524,0.342400,0.287520,0.167063,0.102061,0.125457,0.109868
random_selection,clean_budget,iid_mechanisms,deformable_pull_policy,1,84,0.476190,0.343128,0.288078,0.162455,0.098834,0.124146,0.110237
random_selection,clean_budget,iid_mechanisms,deformable_pull_policy,2,84,0.452381,0.343856,0.288636,0.163562,0.099760,0.124740,0.110606
random_selection,clean_budget,iid_mechanisms,deformable_pull_policy,3,84,0.440476,0.344584,0.289194,0.164311,0.100427,0.125215,0.110975
random_selection,clean_budget,iid_mechanisms,deformable_pull_policy,4,84,0.345238,0.345312,0.277746,0.166780,0.102443,0.126524,0.111152
random_selection,clean_budget,iid_mechanisms,deformable_pull_policy,5,84,0.416667,0.346040,0.278304,0.165030,0.101293,0.126165,0.111521
random_selection,clean_budget,iid_mechanisms,deformable_pull_policy,6,84,0.476190,0.346768,0.278862,0.163636,0.100403,0.125926,0.111890
random_selection,clean_budget,iid_mechanisms,mobile_place_policy,0,84,0.535714,0.326480,0.285036,0.163852,0.098297,0.126931,0.112217
random_selection,clean_budget,iid_mechanisms,mobile_place_policy,1,84,0.440476,0.327184,0.285576,0.167088,0.100767,0.128227,0.112573
random_selection,clean_budget,iid_mechanisms,mobile_place_policy,2,84,0.392857,0.327888,0.286116,0.168896,0.102199,0.129047,0.112930
random_selection,clean_budget,iid_mechanisms,mobile_place_policy,3,84,0.380952,0.328592,0.286656,0.169632,0.102852,0.129510,0.113286
random_selection,clean_budget,iid_mechanisms,mobile_place_policy,4,84,0.440476,0.329296,0.287196,0.168225,0.101948,0.129259,0.105639
random_selection,clean_budget,iid_mechanisms,mobile_place_policy,5,84,0.428571,0.330000,0.287736,0.168962,0.102601,0.121718,0.105996
random_selection,clean_budget,iid_mechanisms,mobile_place_policy,6,84,0.380952,0.330704,0.288276,0.170769,0.104033,0.122538,0.106352
random_selection,clean_budget,iid_mechanisms,force_limited_twist_policy,0,84,0.488095,0.347224,0.288294,0.163060,0.103188,0.124975,0.112989
random_selection,clean_budget,iid_mechanisms,force_limited_twist_policy,1,84,0.476190,0.347984,0.288876,0.163827,0.103872,0.125466,0.113374
random_selection,clean_budget,iid_mechanisms,force_limited_twist_policy,2,84,0.488095,0.348744,0.277452,0.163100,0.103571,0.125719,0.105563
random_selection,clean_budget,iid_mechanisms,force_limited_twist_policy,3,84,0.369048,0.349504,0.278034,0.167081,0.106591,0.127282,0.105949
random_selection,clean_budget,iid_mechanisms,force_limited_twist_policy,4,84,0.440476,0.350264,0.278616,0.165348,0.105459,0.126939,0.106334
random_selection,clean_budget,iid_mechanisms,force_limited_twist_policy,5,84,0.500000,0.335016,0.279198,0.163972,0.104586,0.126716,0.106719
